Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	BV_BRC_genome_id
	accn|JPHW01000005	134	952	+	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23			1409926.6
	accn|JPHW01000008	122712	123497	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			1409926.6
	accn|JPHW01000019	281278	282099	-	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021779.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69			1409926.6
	accn|JPHW01000020	1209	2021	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			1409926.6
	accn|JPHW01000023	841	1566	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	242	278	87.05	99.59	242	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			1409926.6
	accn|LMZX01000001	340045	341193	-	blaADC-76	extended-spectrum class C beta-lactamase ADC-76	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211237.1	extended-spectrum class C beta-lactamase ADC-76			470.1555
	accn|LMZX01000016	88046	88867	+	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68			470.1555
	accn|LMZX01000030	8867	9652	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.1555
	accn|LMZX01000044	8586	9797	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTX	404	404	100.0	100.0	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR			470.1555
	accn|LMZX01000044	10403	11599	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804063.1	tetracycline efflux MFS transporter Tet(A)			470.1555
	accn|LMZX01000045	1304	1834	+	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia			470.1555
	accn|LMZV01000043	67	879	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia			470.1556
	accn|LMZW01000001	152184	153332	+	blaADC-76	extended-spectrum class C beta-lactamase ADC-76	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211237.1	extended-spectrum class C beta-lactamase ADC-76			470.1557
	accn|LMZW01000049	4111	5280	+	blaMCA	MCA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	390	390	100.0	100.0	390	WP_057991970.1	MCA family class C beta-lactamase			470.1557
